gene_id,p_value,auc_single,neg_log10_p
ANKRD2,0.3912962490414592,0.9818181818181818,0.40749431521816465
TP53AIP1,0.3912962490414592,0.9818181818181818,0.40749431521816465
GPR22_1,0.3912962490414592,0.9818181818181818,0.40749431521816465
GPR22,0.3912962490414592,0.9818181818181818,0.40749431521816465
KRT76,0.3912962490414592,0.9818181818181818,0.40749431521816465
DLL3,0.3912962490414592,0.9818181818181818,0.40749431521816465
PODXL2,0.3912962490414592,0.9818181818181818,0.40749431521816465
USP2,0.3912962490414592,0.9818181818181818,0.40749431521816465
HTR1F,0.3912962490414592,0.9818181818181818,0.40749431521816465
FGF21,0.3912962490414592,0.9818181818181818,0.40749431521816465
ZBTB7A,0.391356938574262,0.7055176037834998,0.40742696193915057
ALDH1B1,0.3915106835936939,0.8831318970047294,0.4072563823608743
GDF3,0.3915543024637136,0.9474513925380977,0.40720799957039516
PER2,0.39166983306210645,0.5384130320546505,0.4070798771097582
MIF_1,0.3916842177422475,0.5384130320546505,0.4070639272663803
MIF,0.3916842177422475,0.5384130320546505,0.4070639272663803
CILP,0.3916842177422475,0.5384130320546505,0.4070639272663803
CHCHD2,0.3916842177422475,0.5384130320546505,0.4070639272663803
SLC25A3,0.3916842177422475,0.5384130320546505,0.4070639272663803
TRMT2A,0.3923331420912035,0.5384130320546505,0.4063450035722905
APOBEC2,0.39297000979223995,0.7934839726747241,0.40564059231853206
DCAF7,0.392982838082253,0.5383079348397267,0.4056264152452369
SNRPC,0.39298295786229553,0.5383079348397267,0.4056262828735439
METTL18,0.39298295786229553,0.5383079348397267,0.4056262828735439
KCNMB2,0.39298295786229553,0.5383079348397267,0.4056262828735439
RNF130,0.39298295786229553,0.5383079348397267,0.4056262828735439
ENOX2,0.39335773176157884,0.5432475039411455,0.40521230900473165
COL7A1,0.39366741363541746,0.5844456121912769,0.4048705330483182
LDB2,0.3942838253488311,0.5382028376248029,0.4041910385641879
RAB11FIP2,0.3942843041106223,0.5382028376248029,0.4041905112195076
PLPBP,0.3942843041106223,0.5382028376248029,0.4041905112195076
ZFP36,0.3942843041106223,0.5382028376248029,0.4041905112195076
CUL3,0.3942843041106223,0.5382028376248029,0.4041905112195076
CHP1,0.3942843041106223,0.5382028376248029,0.4041905112195076
PTGS2,0.39434982505111804,0.8852338413032055,0.40411834750779474
SLC5A7,0.39474192530178165,0.9637414608512874,0.4036867449998351
AGFG1,0.3955882545356042,0.5380977404098791,0.40275661157966314
DPYSL2,0.3955882545356042,0.5380977404098791,0.40275661157966314
MPHOSPH6,0.3955882545356042,0.5380977404098791,0.40275661157966314
TMEM30A,0.3955882545356042,0.5380977404098791,0.40275661157966314
ATP6AP2,0.3955882545356042,0.5380977404098791,0.40275661157966314
GAS8,0.3955882545356042,0.5380977404098791,0.40275661157966314
ZBTB18,0.39640904140107935,0.5468208092485549,0.40185644857168334
KCND1_1,0.3964634775090765,0.9158171308460326,0.40179681401305567
KCND1,0.3964634775090765,0.9158171308460326,0.40179681401305567
ACVR2B,0.396652882031009,0.5083552285864424,0.4015893858361001
ACAD10,0.3968948071530004,0.5379926431949553,0.40132458322826253
RTCB,0.3968948071530004,0.5379926431949553,0.40132458322826253
NKIRAS2,0.3968948071530004,0.5379926431949553,0.40132458322826253
KHSRP,0.3968948071530004,0.5379926431949553,0.40132458322826253
YTHDC1_1,0.3968948071530004,0.5379926431949553,0.40132458322826253
SUSD6,0.3968948071530004,0.5379926431949553,0.40132458322826253
ZC3H4,0.3968948071530004,0.5379926431949553,0.40132458322826253
MT1HL1,0.3968948071530004,0.5379926431949553,0.40132458322826253
CLASRP,0.3968948071530004,0.5379926431949553,0.40132458322826253
YTHDC1,0.3968948071530004,0.5379926431949553,0.40132458322826253
SQSTM1,0.3968948071530004,0.5379926431949553,0.40132458322826253
SQSTM1_1,0.3968948071530004,0.5379926431949553,0.40132458322826253
ZNF112,0.397133807840674,0.5021544929059379,0.4010631400485021
ATAD2B,0.3975489391953143,0.5378875459800315,0.4006094010598118
EPB41L1,0.3978156151862229,0.5176037834997372,0.4003181738105973
ACAP1,0.3980677851019634,0.5410404624277456,0.4000429676521746
ACAP1_1,0.3980677851019634,0.5410404624277456,0.4000429676521746
GMEB1,0.39816122050168634,0.6518129269574356,0.39994104099937805
UBXN1,0.3982039599459193,0.5378875459800315,0.399894425438418
ERC1,0.3982039599459193,0.5378875459800315,0.399894425438418
VPS52_3,0.3982039599459193,0.5378875459800315,0.399894425438418
GDPD5,0.3982039599459193,0.5378875459800315,0.399894425438418
CTNNAL1,0.3982039599459193,0.5378875459800315,0.399894425438418
VPS52,0.3982039599459193,0.5378875459800315,0.399894425438418
VPS52_1,0.3982039599459193,0.5378875459800315,0.399894425438418
VPS52_2,0.3982039599459193,0.5378875459800315,0.399894425438418
VPS52_5,0.3982039599459193,0.5378875459800315,0.399894425438418
VPS52_4,0.3982039599459193,0.5378875459800315,0.399894425438418
IL4R,0.3982039599459193,0.5378875459800315,0.399894425438418
OLFML2B,0.3982039599459193,0.5378875459800315,0.399894425438418
VPS52_6,0.3982039599459193,0.5378875459800315,0.399894425438418
PPP2R5B,0.3982039599459193,0.5378875459800315,0.399894425438418
SF3B1,0.3982039599459193,0.5378875459800315,0.399894425438418
CSPG4,0.39879931426212223,0.8991066736731477,0.39924559713177704
